key,source,target
/02F27937411A6B2CA577BDA4F79FB3CF, ( ,
/0FB3B80F4A7B5480176B2EAAB16BEB10, ),
/B7A229A9444BD1FCF4FC76A7289C1B74," , ",
/3DF798154B6E09D08A662AA0D8239EE0, / ,
/EE3914F04748403A2C53C9AFA80E38F8, / ,
/69D32748483FC33DDE45EFB45C5DD00D,!,
/71563F0542F3E6B66D44B68140FE2188,),
/5BB6BD1945556011666655A9A5069D18,*,
/1B484A43492A2B2D637A4DA9CC043923,+,
/F3D811334DC5A750B607DA876E9182FA,+000,
/558E833E42BF9DA592643A8FC1167321,...,
/02BED8A948F5156B6FD5878A20BC0819,0,
/404A780949B69A2995B5E1B98796653F,0,
/ADFA31FB404E9628829EFB80338C5AC9,0,
/F88A7D9147074FFF70DC9297918E35AD,0,
/358AFFBD47D8E21D2D049DBF7873BFDE,0.0,
/82F001784019EA66E18DC3ABA691CF81,0000,
/1D6EBCDF4B3A6E2F537798B66B49A6DA,1,
/24E451174E4F42628E7CD9A91F259B64,1,
/6E77EEAD46263E68E483BC9A0F123AAB,1,
/B73E4AD34454DCF7ECD35A84DA3B9232,1,
/EB0600DD4A2DC6E8AA8E4E91D94DB4E8,1,
/2497072B41293DA06116D8903A8AADC1,1024,
/11E7A351451CF84B1DA1DF827B08BF24,128,
/36F72FD64C98830B601A7194AD0DFABA,16,
/3AD46140447EB1763893F88E3ECE4E7F,20 : 20,
/FA86F0144247109AD5FE56BA92B6F108,20 : 20,
/7495211E47E08DACCADCDB95F1A62193,2048,
/71B06C494A454EFA0A948E9041FB1C66,256,
/0BF0163F4C4F1060FF26FFAFA9C5F71E,32,
/38B8F655480593467EF61BA9D0B606E6,3:00,
/02FC435A40410B2C783ADD81479B7434,4096,
/1188161640162CEF9749B9819C574869,512,
/CFF5C3CC4496546838E0B082E278F837,64,
/0025ADBB4263DFF0BBE0D7972BB71A0A,8192,
/C1DBCB9F43AA886789CB3E95A96E536D,99999.9999,
/51E93E184D4CE420BBC8EEB437CC5E83,=,
/8ED76F7246C1B7EFC0BD4999EA0F5FAC,ActionSpeed,
/6156A8A1478D98EF7190CBB61DE7668B,Alpha,Альфа
/FF9E8F2744F9DE58C4BE4D9BDA9A5BF2,Arena Waiting,Арена в очікуванні
/BFA26A0349DA85E158F28CBF4659A593,Attenuation Radius 최소 / 최대 값,Радіус загасання 최소 / 최대 값
/F88A4CB44AE4EA57806F3A9A62FAA1EE,BP -> GameSpawner 변환,
/3A961B12444172FBB5BC308C3C77B4DD,Blue,Синій
/D69153B141FB0C5BEBC785AADE9974C0,Camera Depthfade Length,Довжина затухання камери в глибину
/C997082D4B4E9A041BD5D08FF4B9183D,Camera Depthfade Offset,Зсув глибини затухання камери
/BA16FFDE4165E5F4EDC415BA9C0FC30D,CharacterName,Ім'я персонажа
/915759E44403780480C574AB0BE506A9,Close,Закрити
/878E6F7F454BFE907421B0ADDC493CCF,Collision Check,Перевірка на зіткнення
